,Geneid,RI-BR1-21,RI-BR2-21,SI-BR1-21,SI-BR2-21
172,gene:Minc3s03350g33590,0.0,0.0,0.0,0.0
173,gene:Minc3s03350g33591,0.0,0.0,0.0,0.0
174,gene:Minc3s03614g34322,0.0,0.0,0.0,1.0
175,gene:Minc3s03614g34323,0.0,0.0,0.0,5.0
176,gene:Minc3s04693g36822,0.0,0.0,0.0,0.0
177,gene:Minc3s04693g36823,0.0,0.0,0.0,0.0
178,gene:Minc3s04693g36824,0.0,0.0,0.0,0.0
179,gene:Minc3s04879g37195,0.0,0.0,0.0,2.0
180,gene:Minc3s04879g37196,0.0,1.0,0.0,1.0
181,gene:Minc3s04879g37197,0.0,0.0,0.0,1.0
182,gene:Minc3s11143g44651,0.0,0.0,0.0,0.0
183,gene:Minc3s08313g42127,0.0,0.0,0.0,0.0
184,gene:Minc3s08313g42128,0.0,0.0,0.0,0.0
185,gene:Minc3s08313g42129,0.0,0.0,0.0,0.0
186,gene:Minc3s01873g26884,0.0,0.0,0.0,0.0
187,gene:Minc3s01873g26886,0.0,0.0,0.0,0.0
188,gene:Minc3s01873g26885,0.0,0.0,0.0,0.0
189,gene:Minc3s05502g38339,0.0,0.0,0.0,0.0
190,gene:Minc3s05502g38340,0.0,0.0,0.0,1.0
191,gene:Minc3s02295g29308,0.0,0.0,1.0,1.0
192,gene:Minc3s02295g29309,0.0,0.0,0.0,1.0
193,gene:Minc3s00814g17686,0.0,0.0,0.0,2.0
194,gene:Minc3s00814g17687,0.0,0.0,1.0,0.0
195,gene:Minc3s00814g17688,0.0,0.0,0.0,0.0
196,gene:Minc3s00814g17689,0.0,0.0,0.0,5.0
197,gene:Minc3s00814g17690,0.0,0.0,0.0,4.0
198,gene:Minc3s04349g36081,0.0,0.0,0.0,0.0
199,gene:Minc3s04349g36082,0.0,0.0,0.0,0.0
200,gene:Minc3s01976g27542,0.0,0.0,0.0,0.0
201,gene:Minc3s01976g27543,0.0,0.0,0.0,0.0
202,gene:Minc3s01976g27544,0.0,0.0,0.0,0.0
203,gene:Minc3s01976g27545,0.0,0.0,0.0,0.0
204,gene:Minc3s01976g27546,0.0,0.0,0.0,0.0
205,gene:Minc3s01976g27547,0.0,0.0,0.0,0.0
206,gene:Minc3s05290g37945,0.0,0.0,0.0,1.0
207,gene:Minc3s05290g37946,0.0,0.0,0.0,0.0
208,gene:Minc3s01900g27052,0.0,2.0,1.0,0.0
209,gene:Minc3s01900g27053,0.0,0.0,0.0,0.0
210,gene:Minc3s01900g27054,0.0,0.0,0.0,13.0
211,gene:Minc3s01900g27055,0.0,0.0,1.0,7.0
212,gene:Minc3s01900g27056,1.0,1.0,1.0,5.0
213,gene:Minc3s01900g27057,0.0,0.0,0.0,0.0
214,gene:Minc3s01900g27058,0.0,0.0,0.0,0.0
215,gene:Minc3s01900g27059,0.0,0.0,0.0,0.0
216,gene:Minc3s01900g27060,0.0,0.0,0.0,0.0
217,gene:Minc3s01900g27061,0.0,0.0,0.0,0.0
218,gene:Minc3s01900g27062,0.0,0.0,0.0,0.0
219,gene:Minc3s01900g27063,0.0,0.0,0.0,0.0
220,gene:Minc3s03690g34533,0.0,0.0,0.0,0.0
221,gene:Minc3s03690g34534,0.0,0.0,0.0,0.0
222,gene:Minc3s03690g34535,0.0,0.0,0.0,3.0
223,gene:Minc3s03016g32442,0.0,0.0,0.0,5.0
224,gene:Minc3s03016g32443,0.0,0.0,0.0,0.0
225,gene:Minc3s04185g35694,0.0,0.0,0.0,2.0
226,gene:Minc3s02791g31582,0.0,0.0,0.0,0.0
227,gene:Minc3s02791g31583,0.0,0.0,0.0,0.0
228,gene:Minc3s02791g31584,0.0,0.0,0.0,0.0
229,gene:Minc3s02791g31585,0.0,0.0,0.0,0.0
230,gene:Minc3s02791g31586,0.0,0.0,0.0,0.0
231,gene:Minc3s04771g36974,0.0,0.0,0.0,0.0
232,gene:Minc3s08944g42775,0.0,1.0,0.0,8.0
233,gene:Minc3s06911g40474,0.0,0.0,0.0,0.0
234,gene:Minc3s06911g40475,0.0,0.0,0.0,0.0
235,gene:Minc3s06911g40476,0.0,0.0,0.0,0.0
236,gene:Minc3s02086g28185,0.0,0.0,0.0,0.0
237,gene:Minc3s02086g28186,0.0,0.0,0.0,0.0
238,gene:Minc3s02086g28187,0.0,0.0,0.0,0.0
239,gene:Minc3s02086g28188,0.0,0.0,0.0,0.0
240,gene:Minc3s04903g37242,0.0,0.0,0.0,0.0
241,gene:Minc3s04903g37243,0.0,0.0,0.0,0.0
242,gene:Minc3s07986g41773,0.0,0.0,0.0,0.0
243,gene:Minc3s10901g44452,0.0,0.0,0.0,0.0
244,gene:Minc3s10901g44453,0.0,0.0,0.0,0.0
245,gene:Minc3s01552g24658,0.0,0.0,0.0,0.0
246,gene:Minc3s01552g24659,1.0,0.0,0.0,7.0
247,gene:Minc3s01552g24660,0.0,0.0,0.0,0.0
248,gene:Minc3s01552g24661,0.0,0.0,0.0,0.0
249,gene:Minc3s01552g24662,0.0,0.0,0.0,0.0
250,gene:Minc3s01552g24663,0.0,0.0,0.0,5.0
251,gene:Minc3s01552g24664,0.0,0.0,2.0,1.0
252,gene:Minc3s01552g24665,0.0,0.0,0.0,0.0
253,gene:Minc3s01552g24666,0.0,0.0,0.0,0.0
254,gene:Minc3s01552g24667,0.0,0.0,0.0,0.0
255,gene:Minc3s11990g45284,0.0,0.0,0.0,0.0
256,gene:Minc3s10663g44254,0.0,0.0,0.0,0.0
257,gene:Minc3s10663g44255,0.0,0.0,0.0,0.0
258,gene:Minc3s03228g33208,0.0,3.0,0.0,20.0
259,gene:Minc3s03228g33209,0.0,0.0,3.0,6.0
260,gene:Minc3s03228g33210,0.0,0.0,0.0,0.0
261,gene:Minc3s03228g33211,0.0,0.0,0.0,0.0
262,gene:Minc3s03228g33212,0.0,1.0,0.0,0.0
263,gene:Minc3s08926g42761,0.0,0.0,0.0,0.0
264,gene:Minc3s04455g36319,0.0,0.0,0.0,0.0
265,gene:Minc3s04455g36320,0.0,0.0,0.0,0.0
266,gene:Minc3s04455g36321,0.0,0.0,0.0,0.0
267,gene:Minc3s04455g36322,0.0,0.0,0.0,0.0
268,gene:Minc3s04455g36323,0.0,0.0,0.0,0.0
269,gene:Minc3s01275g22367,0.0,0.0,0.0,1.0
270,gene:Minc3s01275g22368,0.0,0.0,0.0,0.0
271,gene:Minc3s01275g22369,0.0,0.0,0.0,0.0
272,gene:Minc3s01275g22370,0.0,0.0,0.0,0.0
273,gene:Minc3s01275g22371,0.0,0.0,0.0,2.0
274,gene:Minc3s01275g22372,0.0,0.0,0.0,0.0
275,gene:Minc3s01275g22373,0.0,0.0,0.0,1.0
276,gene:Minc3s01275g22374,0.0,0.0,1.0,3.0
277,gene:Minc3s01275g22375,0.0,0.0,0.0,1.0
278,gene:Minc3s01275g22376,0.0,0.0,1.0,0.0
279,gene:Minc3s01275g22377,0.0,0.0,0.0,0.0
280,gene:Minc3s01275g22378,0.0,0.0,0.0,0.0
281,gene:Minc3s01415g23626,0.0,0.0,0.0,0.0
282,gene:Minc3s01415g23627,0.0,0.0,0.0,0.0
283,gene:Minc3s01415g23628,0.0,0.0,0.0,0.0
284,gene:Minc3s01415g23629,0.0,1.0,0.0,0.0
285,gene:Minc3s01415g23630,0.0,0.0,0.0,0.0
286,gene:Minc3s01415g23631,0.0,0.0,0.0,0.0
287,gene:Minc3s01415g23632,0.0,0.0,0.0,0.0
288,gene:Minc3s01415g23633,0.0,0.0,0.0,0.0
289,gene:Minc3s00911g18780,0.0,0.0,0.0,0.0
290,gene:Minc3s00911g18781,0.0,1.0,0.0,2.0
291,gene:Minc3s00911g18782,0.0,6.0,0.0,0.0
292,gene:Minc3s00911g18783,0.0,1.0,0.0,0.0
293,gene:Minc3s00911g18784,0.0,0.0,0.0,0.0
294,gene:Minc3s00911g18785,0.0,0.0,0.0,3.0
295,gene:Minc3s00911g18786,0.0,0.0,1.0,6.0
296,gene:Minc3s00911g18787,0.0,0.0,0.0,0.0
297,gene:Minc3s00911g18788,0.0,0.0,0.0,3.0
298,gene:Minc3s00911g18789,0.0,1.0,0.0,1.0
299,gene:Minc3s00911g18790,0.0,0.0,0.0,0.0
300,gene:Minc3s00911g18791,0.0,0.0,0.0,3.0
301,gene:Minc3s10434g44084,0.0,0.0,0.0,0.0
302,gene:Minc3s10434g44085,0.0,0.0,0.0,0.0
303,gene:Minc3s01934g27288,0.0,0.0,0.0,0.0
304,gene:Minc3s01934g27289,0.0,0.0,0.0,7.0
305,gene:Minc3s01934g27290,0.0,0.0,0.0,0.0
306,gene:Minc3s01934g27291,0.0,0.0,0.0,0.0
307,gene:Minc3s01934g27292,0.0,0.0,0.0,0.0
308,gene:Minc3s01934g27293,0.0,2.0,1.0,1.0
309,gene:Minc3s09553g43322,0.0,0.0,0.0,0.0
310,gene:Minc3s09553g43323,0.0,0.0,0.0,0.0
311,gene:Minc3s00981g19537,0.0,0.0,0.0,2.0
312,gene:Minc3s00981g19538,4.0,0.0,3.0,0.0
313,gene:Minc3s00981g19539,0.0,3.0,4.0,7.0
314,gene:Minc3s00981g19540,0.0,1.0,1.0,24.0
315,gene:Minc3s00981g19541,2.0,0.0,3.0,5.0
316,gene:Minc3s00981g19542,0.0,0.0,0.0,0.0
317,gene:Minc3s00981g19543,0.0,1.0,0.0,4.0
318,gene:Minc3s00981g19544,0.0,0.0,0.0,6.0
319,gene:Minc3s00981g19545,0.0,0.0,0.0,0.0
320,gene:Minc3s00981g19546,1.0,7.0,3.0,22.0
321,gene:Minc3s00981g19547,1.0,2.0,6.0,21.0
322,gene:Minc3s00981g19548,1.0,1.0,6.0,7.0
323,gene:Minc3s00981g19549,0.0,0.0,0.0,0.0
324,gene:Minc3s00981g19550,0.0,0.0,1.0,0.0
325,gene:Minc3s00981g19551,0.0,1.0,0.0,2.0
326,gene:Minc3s01087g20585,0.0,0.0,0.0,0.0
327,gene:Minc3s01087g20586,0.0,0.0,0.0,1.0
328,gene:Minc3s01087g20587,0.0,0.0,0.0,0.0
329,gene:Minc3s01087g20588,0.0,1.0,0.0,0.0
330,gene:Minc3s01087g20589,0.0,2.0,0.0,3.0
331,gene:Minc3s01087g20590,0.0,0.0,0.0,0.0
332,gene:Minc3s01087g20591,0.0,0.0,0.0,0.0
333,gene:Minc3s01087g20592,0.0,0.0,0.0,0.0
334,gene:Minc3s01087g20593,0.0,2.0,0.0,0.0
335,gene:Minc3s01087g20594,0.0,0.0,0.0,1.0
336,gene:Minc3s01087g20595,0.0,0.0,0.0,0.0
337,gene:Minc3s03393g33714,0.0,0.0,0.0,0.0
338,gene:Minc3s03393g33715,0.0,0.0,0.0,0.0
339,gene:Minc3s00028g01730,0.0,0.0,0.0,0.0
340,gene:Minc3s00028g01731,0.0,0.0,1.0,0.0
341,gene:Minc3s00028g01732,0.0,1.0,0.0,6.0
342,gene:Minc3s00028g01733,0.0,3.0,2.0,0.0
343,gene:Minc3s00028g01734,0.0,3.0,0.0,0.0
344,gene:Minc3s00028g01735,0.0,2.0,0.0,0.0
345,gene:Minc3s00028g01736,0.0,1.0,0.0,0.0
346,gene:Minc3s00028g01737,0.0,1.0,0.0,3.0
347,gene:Minc3s00028g01738,0.0,0.0,0.0,2.0
348,gene:Minc3s00028g01739,0.0,0.0,0.0,0.0
349,gene:Minc3s00028g01740,0.0,3.0,3.0,27.0
350,gene:Minc3s00028g01741,0.0,2.0,0.0,4.0
351,gene:Minc3s00028g01742,0.0,3.0,4.0,20.0
352,gene:Minc3s00028g01743,0.0,0.0,0.0,2.0
353,gene:Minc3s00028g01744,0.0,0.0,1.0,11.0
354,gene:Minc3s00028g01745,0.0,0.0,0.0,0.0
355,gene:Minc3s00028g01746,3.0,6.0,7.0,35.0
356,gene:Minc3s00028g01747,0.0,0.0,0.0,7.0
357,gene:Minc3s00028g01748,0.0,0.0,0.0,0.0
358,gene:Minc3s00028g01749,0.0,0.0,0.0,0.0
359,gene:Minc3s00028g01750,0.0,0.0,0.0,0.0
360,gene:Minc3s00028g01751,0.0,0.0,0.0,0.0
361,gene:Minc3s00028g01752,0.0,0.0,0.0,0.0
362,gene:Minc3s00028g01753,0.0,0.0,0.0,0.0
363,gene:Minc3s00028g01754,0.0,0.0,0.0,0.0
364,gene:Minc3s00028g01755,0.0,0.0,0.0,0.0
365,gene:Minc3s00028g01756,0.0,0.0,0.0,0.0
366,gene:Minc3s00028g01757,0.0,10.0,14.0,64.0
367,gene:Minc3s00028g01758,0.0,3.0,6.0,25.0
368,gene:Minc3s00028g01759,0.0,0.0,0.0,0.0
369,gene:Minc3s00028g01760,0.0,0.0,0.0,0.0
370,gene:Minc3s00028g01761,0.0,4.0,0.0,0.0
371,gene:Minc3s00028g01762,0.0,0.0,0.0,0.0
372,gene:Minc3s00028g01763,0.0,0.0,0.0,4.0
373,gene:Minc3s00028g01764,0.0,0.0,0.0,0.0
374,gene:Minc3s00028g01765,0.0,0.0,0.0,0.0
375,gene:Minc3s00028g01766,0.0,0.0,0.0,0.0
376,gene:Minc3s00028g01767,0.0,0.0,0.0,0.0
377,gene:Minc3s00028g01768,0.0,0.0,0.0,0.0
378,gene:Minc3s00028g01769,0.0,0.0,1.0,3.0
379,gene:Minc3s00028g01770,0.0,0.0,0.0,0.0
380,gene:Minc3s00028g01771,0.0,0.0,0.0,6.0
381,gene:Minc3s00028g01772,0.0,0.0,0.0,0.0
382,gene:Minc3s00028g01773,0.0,0.0,0.0,0.0
383,gene:Minc3s00028g01774,0.0,0.0,0.0,1.0
384,gene:Minc3s00028g01775,0.0,0.0,0.0,0.0
385,gene:Minc3s00356g10882,0.0,0.0,0.0,12.0
386,gene:Minc3s00356g10883,0.0,0.0,0.0,0.0
387,gene:Minc3s00356g10884,0.0,0.0,0.0,0.0
388,gene:Minc3s00356g10885,0.0,0.0,0.0,0.0
389,gene:Minc3s00356g10886,0.0,0.0,0.0,0.0
390,gene:Minc3s00356g10887,0.0,0.0,0.0,0.0
391,gene:Minc3s00356g10888,0.0,0.0,0.0,1.0
392,gene:Minc3s00356g10889,0.0,0.0,2.0,15.0
393,gene:Minc3s00356g10890,1.0,1.0,0.0,0.0
394,gene:Minc3s00356g10891,0.0,0.0,0.0,0.0
395,gene:Minc3s00356g10892,0.0,0.0,0.0,0.0
396,gene:Minc3s00356g10893,0.0,0.0,0.0,0.0
397,gene:Minc3s00356g10894,0.0,5.0,2.0,5.0
398,gene:Minc3s00356g10895,0.0,1.0,0.0,0.0
399,gene:Minc3s00356g10896,0.0,0.0,0.0,11.0
400,gene:Minc3s00356g10897,0.0,0.0,0.0,0.0
401,gene:Minc3s00356g10898,0.0,0.0,1.0,8.0
402,gene:Minc3s07147g40778,0.0,0.0,0.0,0.0
403,gene:Minc3s02019g27802,0.0,0.0,1.0,1.0
404,gene:Minc3s02019g27803,0.0,0.0,0.0,1.0
405,gene:Minc3s02019g27804,0.0,0.0,1.0,57.0
406,gene:Minc3s02019g27805,0.0,0.0,0.0,0.0
407,gene:Minc3s02019g27806,0.0,0.0,0.0,19.0
408,gene:Minc3s02019g27807,0.0,1.0,1.0,8.0
409,gene:Minc3s02019g27808,0.0,0.0,0.0,0.0
410,gene:Minc3s06049g39240,0.0,1.0,0.0,0.0
411,gene:Minc3s07349g41020,0.0,0.0,0.0,0.0
412,gene:Minc3s02593g30803,0.0,0.0,0.0,0.0
413,gene:Minc3s02593g30804,0.0,0.0,0.0,0.0
414,gene:Minc3s02593g30805,0.0,0.0,0.0,1.0
415,gene:Minc3s02593g30806,0.0,0.0,0.0,0.0
416,gene:Minc3s02593g30807,0.0,3.0,0.0,0.0
417,gene:Minc3s02593g30808,0.0,0.0,0.0,1.0
418,gene:Minc3s03684g34520,0.0,0.0,0.0,0.0
419,gene:Minc3s03684g34521,0.0,0.0,1.0,5.0
420,gene:Minc3s04928g37286,0.0,2.0,0.0,0.0
421,gene:Minc3s04928g37287,0.0,0.0,0.0,0.0
422,gene:Minc3s03671g34487,0.0,0.0,0.0,0.0
423,gene:Minc3s03671g34488,0.0,0.0,0.0,0.0
424,gene:Minc3s03671g34489,0.0,0.0,0.0,0.0
425,gene:Minc3s01836g26629,0.0,0.0,0.0,0.0
426,gene:Minc3s01836g26630,0.0,0.0,2.0,11.0
427,gene:Minc3s01836g26631,0.0,0.0,0.0,3.0
428,gene:Minc3s01836g26632,0.0,0.0,0.0,1.0
429,gene:Minc3s01836g26633,0.0,0.0,0.0,1.0
430,gene:Minc3s01836g26634,0.0,0.0,0.0,0.0
431,gene:Minc3s01836g26635,0.0,0.0,0.0,0.0
432,gene:Minc3s01332g22849,0.0,1.0,2.0,6.0
433,gene:Minc3s01332g22850,0.0,0.0,0.0,3.0
